index,Restaurant,URL,Rating,Number_of_reviews,Address,Marquee,Distribution,DollarSigns,RestaurantType
1025,Red Lantern,https://www.tripadvisor.com/Restaurant_Review-g60878-d3974266-Reviews-Red_Lantern-Seattle_Washington.html,4,42,"520 S Jackson St, Seattle, WA 98104-2829","#643 of 2,182 Restaurants in Seattle","[17, 17, 4, 1, 2]",$$ - $$$,ChineseAsian
1026,Macrina Bakery & Cafe,https://www.tripadvisor.com/Restaurant_Review-g60878-d4105551-Reviews-Macrina_Bakery_Cafe-Seattle_Washington.html,4,59,"615 W McGraw St, Seattle, WA 98119-2836",#41 of 88 Bakeries in Seattle,"[24, 23, 3, 4, 2]",$$ - $$$,BakeriesAmericanCafe
1027,BluWater Bistro,https://www.tripadvisor.com/Restaurant_Review-g60878-d432924-Reviews-BluWater_Bistro-Seattle_Washington.html,3.5,128,"102 Lakeside Ave, Seattle, WA 98122-6542","#644 of 2,182 Restaurants in Seattle","[40, 36, 28, 8, 16]",$$ - $$$,AmericanBarSeafood
1028,Tula's,https://www.tripadvisor.com/Restaurant_Review-g60878-d532675-Reviews-Tula_s-Seattle_Washington.html,4,72,"2214 2nd Ave, Seattle, WA 98121-2017","#645 of 2,182 Restaurants in Seattle","[26, 19, 11, 6, 7]",$$ - $$$,American
1029,Al Basha Mediterranean Restaurant,https://www.tripadvisor.com/Restaurant_Review-g60878-d12970839-Reviews-Al_Basha_Mediterranean_Restaurant-Seattle_Washington.html,4.5,19,"2302 1st Ave, Seattle, WA 98121-1617",#161 of 302 Quick Bites in Seattle,"[11, 6, 1, 0, 1]",$$ - $$$,Quick BitesMediterraneanMiddle Eastern
1030,Andiamo,https://www.tripadvisor.com/Restaurant_Review-g58349-d463550-Reviews-Andiamo-Bellevue_Washington.html,3.5,67,"938 110th Ave NE Ste 1, Bellevue, WA 98004-4492",#75 of 316 Restaurants in Bellevue,"[24, 19, 10, 5, 7]",$$ - $$$,ItalianVegetarian Friendly
1031,Chipotle Mexican Grill,https://www.tripadvisor.com/Restaurant_Review-g60878-d4415480-Reviews-Chipotle_Mexican_Grill-Seattle_Washington.html,4,48,"1501 4th Ave, Seattle, WA 98101",#162 of 302 Quick Bites in Seattle,"[12, 16, 6, 1, 2]",$,Quick BitesMexicanSouthwestern
1032,The North Star Diner,https://www.tripadvisor.com/Restaurant_Review-g60878-d10372986-Reviews-The_North_Star_Diner-Seattle_Washington.html,4.5,20,"8580 Greenwood Ave N, Seattle, WA 98103-3614","#646 of 2,182 Restaurants in Seattle","[11, 6, 2, 0, 0]",$$ - $$$,DinerVegetarian Friendly
1033,Joe Bar,https://www.tripadvisor.com/Restaurant_Review-g60878-d4974270-Reviews-Joe_Bar-Seattle_Washington.html,4.5,27,"810 E Roy St, Seattle, WA 98102-4611",#51 of 225 Coffee & Tea in Seattle,"[10, 13, 3, 0, 0]",$,Quick BitesCafe
1034,Pacific Cafe Hong Kong Kitchen,https://www.tripadvisor.com/Restaurant_Review-g60878-d1153502-Reviews-Pacific_Cafe_Hong_Kong_Kitchen-Seattle_Washington.html,4.5,22,"416 5th Ave S, Seattle, WA 98104-2806","#647 of 2,182 Restaurants in Seattle","[15, 5, 0, 0, 0]",$,ChineseAsian
1035,Buddha Brudda,https://www.tripadvisor.com/Restaurant_Review-g60878-d13996935-Reviews-Buddha_Brudda-Seattle_Washington.html,4.5,11,"2201 Rainier Ave S, Seattle, WA 98144-4641","#648 of 2,182 Restaurants in Seattle","[8, 3, 0, 0, 0]",$,Fast Food
1036,TnT Taqueria,https://www.tripadvisor.com/Restaurant_Review-g60878-d4558551-Reviews-TnT_Taqueria-Seattle_Washington.html,4.5,20,"2114 N 45th St, Seattle, WA 98103-6902","#649 of 2,182 Restaurants in Seattle","[14, 4, 2, 0, 0]",$,MexicanLatinSpanish
1037,L'Oursin,https://www.tripadvisor.com/Restaurant_Review-g60878-d12234098-Reviews-L_Oursin-Seattle_Washington.html,4,27,"1315 E Jefferson St Between 13th and 14th Avenues, Seattle, WA 98122-6185","#650 of 2,182 Restaurants in Seattle","[14, 6, 2, 5, 0]",$$ - $$$,FrenchAmericanEuropean
1038,India Bistro,https://www.tripadvisor.com/Restaurant_Review-g60878-d479452-Reviews-India_Bistro-Seattle_Washington.html,4,50,"2301 NW Market St, Seattle, WA 98107-4027","#651 of 2,182 Restaurants in Seattle","[18, 23, 3, 3, 2]",$$ - $$$,IndianVegetarian FriendlyVegan Options
1039,Korean Bamboo,https://www.tripadvisor.com/Restaurant_Review-g60878-d8631231-Reviews-Korean_Bamboo-Seattle_Washington.html,4,39,"2236 3rd Ave, Seattle, WA 98121-2019","#652 of 2,182 Restaurants in Seattle","[15, 16, 3, 2, 2]",$$ - $$$,AsianKoreanSoups
1040,Le Fournil Cafe,https://www.tripadvisor.com/Restaurant_Review-g60878-d432135-Reviews-Le_Fournil_Cafe-Seattle_Washington.html,4,52,"3230 Eastlake Ave E A, Seattle, WA 98102-3814",#42 of 88 Bakeries in Seattle,"[24, 17, 8, 2, 1]",$$ - $$$,BakeriesFrenchCafe
1041,Merchants Cafe and Saloon,https://www.tripadvisor.com/Restaurant_Review-g60878-d451181-Reviews-Merchants_Cafe_and_Saloon-Seattle_Washington.html,3.5,158,"109 Yesler Way, Seattle, WA 98104-3473","#653 of 2,182 Restaurants in Seattle","[44, 55, 21, 15, 17]",$$ - $$$,AmericanBarPub
1042,Araya's Place Vegan Thai on Madison,https://www.tripadvisor.com/Restaurant_Review-g60878-d7129134-Reviews-Araya_s_Place_Vegan_Thai_on_Madison-Seattle_Washington.html,4.5,29,"2808 E Madison St, Seattle, WA 98112-4862","#654 of 2,182 Restaurants in Seattle","[18, 6, 0, 1, 2]",$$ - $$$,AsianThaiVegetarian Friendly
1043,Valhalla Sandwiches,https://www.tripadvisor.com/Restaurant_Review-g60878-d11841571-Reviews-Valhalla_Sandwiches-Seattle_Washington.html,4.5,18,"8202 Greenwood Ave N, Seattle, WA 98103-4233",#164 of 302 Quick Bites in Seattle,"[6, 11, 1, 0, 0]",$,Quick BitesVegetarian Friendly
1044,Issian,https://www.tripadvisor.com/Restaurant_Review-g60878-d1152119-Reviews-Issian-Seattle_Washington.html,4.5,27,"1618 N 45th St, Seattle, WA 98103-6702","#655 of 2,182 Restaurants in Seattle","[11, 9, 5, 0, 0]",$$ - $$$,JapaneseSushiAsian
1045,Wedgwood Broiler,https://www.tripadvisor.com/Restaurant_Review-g60878-d480089-Reviews-Wedgwood_Broiler-Seattle_Washington.html,4,37,"8230 35th Ave NE, Seattle, WA 98115-4817","#656 of 2,182 Restaurants in Seattle","[12, 13, 10, 1, 1]",$$ - $$$,AmericanSteakhouseBar
1046,Buffalo Wild Wings,https://www.tripadvisor.com/Restaurant_Review-g60878-d7191113-Reviews-Buffalo_Wild_Wings-Seattle_Washington.html,3.5,109,"1624 4th Ave Westlake Center, Seattle, WA 98101-1614","#657 of 2,182 Restaurants in Seattle","[20, 35, 22, 10, 7]",$$ - $$$,AmericanBar
1047,Kiss Cafe,https://www.tripadvisor.com/Restaurant_Review-g60878-d3483711-Reviews-Kiss_Cafe-Seattle_Washington.html,4,35,"2817 NW Market St, Seattle, WA 98107-4215","#658 of 2,182 Restaurants in Seattle","[16, 13, 4, 0, 2]",$$ - $$$,AmericanCafeVegetarian Friendly
1048,Soprano's Pizza and Pasta,https://www.tripadvisor.com/Restaurant_Review-g60878-d1060443-Reviews-Soprano_s_Pizza_and_Pasta-Seattle_Washington.html,4,31,"7729 24th Ave NW, Seattle, WA 98117-4412","#659 of 2,182 Restaurants in Seattle","[13, 14, 1, 0, 3]",$$ - $$$,ItalianPizzaVegetarian Friendly
1049,Yoroshiku 4649,https://www.tripadvisor.com/Restaurant_Review-g60878-d4083595-Reviews-Yoroshiku_4649-Seattle_Washington.html,4,27,"1913 N 45th St, Seattle, WA 98103-6804","#660 of 2,182 Restaurants in Seattle","[8, 13, 3, 0, 0]",$$ - $$$,JapaneseAsian
1050,Solo Bar,https://www.tripadvisor.com/Restaurant_Review-g60878-d1307850-Reviews-Solo_Bar-Seattle_Washington.html,4,21,"200 Roy St Ste 104, Seattle, WA 98109-4150","#661 of 2,182 Restaurants in Seattle","[8, 9, 2, 1, 0]",$$ - $$$,BarPub
1051,MOD Pizza,https://www.tripadvisor.com/Restaurant_Review-g60878-d4612008-Reviews-MOD_Pizza-Seattle_Washington.html,4.5,21,"1414 NE 42nd St Ste 103-B, Seattle, WA 98105",#165 of 302 Quick Bites in Seattle,"[13, 5, 1, 0, 0]",$,Quick BitesPizza
1052,Blue Moon Burgers,https://www.tripadvisor.com/Restaurant_Review-g60878-d1459843-Reviews-Blue_Moon_Burgers-Seattle_Washington.html,4,70,"920 Republican St, Seattle, WA 98109-4301",#166 of 302 Quick Bites in Seattle,"[25, 23, 8, 2, 6]",$$ - $$$,Quick BitesAmericanFast Food
1053,Juicy Cafe,https://www.tripadvisor.com/Restaurant_Review-g60878-d3344701-Reviews-Juicy_Cafe-Seattle_Washington.html,4.5,23,"725 Pike St Fl 2, Seattle, WA 98101-2361",#67 of 112 Desserts in Seattle,"[13, 5, 2, 0, 0]",$,DessertCafeFast Food
1054,The Shelter Lounge,https://www.tripadvisor.com/Restaurant_Review-g60878-d4213862-Reviews-The_Shelter_Lounge-Seattle_Washington.html,4,59,"7110 E Green Lake Dr N, Seattle, WA 98115-5415","#662 of 2,182 Restaurants in Seattle","[19, 22, 9, 5, 2]",$$ - $$$,AmericanBarPub
1055,Shawarma King,https://www.tripadvisor.com/Restaurant_Review-g60878-d4330381-Reviews-Shawarma_King-Seattle_Washington.html,4,27,"5004 University Way NE 4337 University Way NE, Seattle, WA 98105-4342",#167 of 302 Quick Bites in Seattle,"[8, 14, 4, 0, 0]",$,Quick BitesMiddle EasternVegetarian Friendly
1056,The Lodge Sports Grille,https://www.tripadvisor.com/Restaurant_Review-g60878-d4495274-Reviews-The_Lodge_Sports_Grille-Seattle_Washington.html,3.5,100,"166 S King St, Seattle, WA 98104-2825","#663 of 2,182 Restaurants in Seattle","[27, 34, 19, 7, 8]",$$ - $$$,AmericanBarPub
1057,Slim's Last Chance,https://www.tripadvisor.com/Restaurant_Review-g60878-d1822800-Reviews-Slim_s_Last_Chance-Seattle_Washington.html,4,43,"5606 1st Ave S, Seattle, WA 98108-2403","#664 of 2,182 Restaurants in Seattle","[16, 19, 4, 2, 2]",$$ - $$$,AmericanBar
1058,Costas Restaurant,https://www.tripadvisor.com/Restaurant_Review-g60878-d432241-Reviews-Costas_Restaurant-Seattle_Washington.html,4,55,"4559 University Way NE, Seattle, WA 98105-4510","#665 of 2,182 Restaurants in Seattle","[18, 22, 10, 2, 3]",$$ - $$$,AmericanMediterraneanGreek
1059,Nirvana Indian & Nepali Cuisine,https://www.tripadvisor.com/Restaurant_Review-g58342-d20378458-Reviews-Nirvana_Indian_Nepali_Cuisine-Bainbridge_Island_Washington.html,5,7,"403 Madison Ave N, Bainbridge Island, WA 98110-2865",#20 of 41 Restaurants in Bainbridge Island,"[7, 0, 0, 0, 0]",,IndianAsianNepali
1060,Alanya Cafe,https://www.tripadvisor.com/Restaurant_Review-g58541-d8145762-Reviews-Alanya_Cafe-Kirkland_Washington.html,4.5,24,"1 Lake St, Kirkland, WA 98033-6111",#27 of 147 Restaurants in Kirkland,"[13, 9, 1, 0, 1]",$,CafeMediterraneanTurkish
1061,Bar Cantinetta,https://www.tripadvisor.com/Restaurant_Review-g60878-d5217555-Reviews-Bar_Cantinetta-Seattle_Washington.html,4.5,28,"2811 E Madison St, Seattle, WA 98112-4869","#666 of 2,182 Restaurants in Seattle","[18, 4, 2, 3, 0]",$$ - $$$,Italian
1062,Cloud City Cafe,https://www.tripadvisor.com/Restaurant_Review-g60878-d2526631-Reviews-Cloud_City_Cafe-Seattle_Washington.html,4.5,23,"8801 Roosevelt Way NE, Seattle, WA 98115-3028",#52 of 225 Coffee & Tea in Seattle,"[15, 5, 3, 0, 0]",$,Quick BitesAmericanCafe
1063,Palermo Pizza & Pasta,https://www.tripadvisor.com/Restaurant_Review-g60878-d4947729-Reviews-Palermo_Pizza_Pasta-Seattle_Washington.html,4.5,17,"2005 NW Market St, Seattle, WA 98107-4013","#667 of 2,182 Restaurants in Seattle","[12, 4, 0, 0, 0]",$$ - $$$,ItalianPizzaVegetarian Friendly
1064,McGilvra's,https://www.tripadvisor.com/Restaurant_Review-g60878-d3242025-Reviews-McGilvra_s-Seattle_Washington.html,4,26,"4234 E Madison St, Seattle, WA 98112-3237","#668 of 2,182 Restaurants in Seattle","[10, 11, 3, 2, 0]",$$ - $$$,AmericanIrishBar
1065,Rom Mai Thai Restaurant,https://www.tripadvisor.com/Restaurant_Review-g60878-d3420626-Reviews-Rom_Mai_Thai_Restaurant-Seattle_Washington.html,4.5,28,"613 Broadway E, Seattle, WA 98102-5025","#669 of 2,182 Restaurants in Seattle","[14, 9, 3, 0, 1]",$$ - $$$,AsianThaiVegetarian Friendly
1066,Kobe Restaurant,https://www.tripadvisor.com/Restaurant_Review-g58349-d2000458-Reviews-Kobe_Restaurant-Bellevue_Washington.html,4,47,"850 110th Ave NE, Bellevue, WA 98004-5147",#76 of 316 Restaurants in Bellevue,"[19, 14, 7, 1, 4]",$$ - $$$,JapaneseSushiAsian
1067,Wood Shop BBQ,https://www.tripadvisor.com/Restaurant_Review-g60878-d14562416-Reviews-Wood_Shop_BBQ-Seattle_Washington.html,4.5,20,"2513 S Jackson St, Seattle, WA 98144-2344",#169 of 302 Quick Bites in Seattle,"[12, 4, 3, 1, 0]",$$ - $$$,Quick BitesAmericanBarbecue
1068,JINYA Ramen Bar - Bellevue,https://www.tripadvisor.com/Restaurant_Review-g58349-d8090655-Reviews-JINYA_Ramen_Bar_Bellevue-Bellevue_Washington.html,4,32,"15600 NE 8th St. Suite 0-11, Bellevue, WA 98008",#77 of 316 Restaurants in Bellevue,"[12, 10, 6, 1, 1]",$$ - $$$,JapaneseAsianSoups
1069,Unicorn,https://www.tripadvisor.com/Restaurant_Review-g60878-d4416486-Reviews-Unicorn-Seattle_Washington.html,4,69,"1118 E Pike St, Seattle, WA 98122-3916","#670 of 2,182 Restaurants in Seattle","[19, 30, 10, 5, 5]",$$ - $$$,AmericanBarPub
1070,Razzis Pizzeria Downtown,https://www.tripadvisor.com/Restaurant_Review-g60878-d14912494-Reviews-Razzis_Pizzeria_Downtown-Seattle_Washington.html,4,28,"1314 Howell St, Seattle, WA 98101-1412",#170 of 302 Quick Bites in Seattle,"[12, 10, 0, 1, 3]",$$ - $$$,Quick BitesItalianPizza
1071,Marine Hardware,https://www.tripadvisor.com/Restaurant_Review-g60878-d10699507-Reviews-Marine_Hardware-Seattle_Washington.html,4.5,19,"4741 Ballard Avenue North West Ethan Stowell Restaurants, Seattle, WA 98107-4810","#671 of 2,182 Restaurants in Seattle","[13, 4, 1, 1, 0]",,
1072,Bainbridge Brewing,https://www.tripadvisor.com/Restaurant_Review-g58342-d8459284-Reviews-Bainbridge_Brewing-Bainbridge_Island_Washington.html,4,21,"9415 Coppertop Loop NE Suite 104, Bainbridge Island, WA 98110-3339",#21 of 41 Restaurants in Bainbridge Island,"[7, 12, 2, 0, 0]",$,Pub
1073,Hot Mama's Pizza,https://www.tripadvisor.com/Restaurant_Review-g60878-d3319496-Reviews-Hot_Mama_s_Pizza-Seattle_Washington.html,4,37,"Intersection of Boylston and E. Pine, Seattle, WA",#171 of 302 Quick Bites in Seattle,"[18, 9, 2, 2, 2]",$,Quick BitesPizza
1074,Cielo Cocina Mexciana,https://www.tripadvisor.com/Restaurant_Review-g58349-d17295062-Reviews-Cielo_Cocina_Mexciana-Bellevue_Washington.html,4.5,11,"958 111th Ave NE Suite 101, Bellevue, WA 98004-4601",#78 of 316 Restaurants in Bellevue,"[7, 3, 1, 0, 0]",$$ - $$$,MexicanLatinSpanish
1075,Cakes of Paradise,https://www.tripadvisor.com/Restaurant_Review-g60878-d4937827-Reviews-Cakes_of_Paradise-Seattle_Washington.html,4.5,16,"6322 6th Ave S, Seattle, WA 98108-3436",#43 of 88 Bakeries in Seattle,"[13, 2, 0, 1, 0]",$,BakeriesCafe
1076,Starbucks,https://www.tripadvisor.com/Restaurant_Review-g60878-d4368992-Reviews-Starbucks-Seattle_Washington.html,4.5,22,"701 5th Ave, Seattle, WA 98104-7097",#53 of 225 Coffee & Tea in Seattle,"[11, 4, 1, 1, 0]",$,Quick BitesCafe
1077,Mekong Village,https://www.tripadvisor.com/Restaurant_Review-g60878-d2017426-Reviews-Mekong_Village-Seattle_Washington.html,4.5,30,"12020 Aurora Ave N between 125th St & 127th St, Seattle, WA 98133-8250","#672 of 2,182 Restaurants in Seattle","[15, 10, 4, 1, 0]",$,AsianVietnameseSoups
1078,Toyoda Sushi,https://www.tripadvisor.com/Restaurant_Review-g60878-d432817-Reviews-Toyoda_Sushi-Seattle_Washington.html,4.5,37,"12543 Lake City Way NE, Seattle, WA 98125-4424","#673 of 2,182 Restaurants in Seattle","[24, 9, 2, 1, 1]",$$ - $$$,JapaneseSushiAsian
1079,Ancient Grounds,https://www.tripadvisor.com/Restaurant_Review-g60878-d3467918-Reviews-Ancient_Grounds-Seattle_Washington.html,4.5,18,"1220 1st Ave, Seattle, WA 98101-2911",#54 of 225 Coffee & Tea in Seattle,"[13, 2, 0, 1, 0]",$,Cafe
1080,The Dish Cafe,https://www.tripadvisor.com/Restaurant_Review-g60878-d10882161-Reviews-The_Dish_Cafe-Seattle_Washington.html,4.5,15,"301 NE 65th St, Seattle, WA 98115-6407","#674 of 2,182 Restaurants in Seattle","[8, 7, 0, 0, 0]",$,CafeDinerVegetarian Friendly
1081,Little Brother,https://www.tripadvisor.com/Restaurant_Review-g58541-d11755789-Reviews-Little_Brother-Kirkland_Washington.html,4,29,"456 Central Way, Kirkland, WA 98033-6204",#29 of 147 Restaurants in Kirkland,"[15, 7, 2, 4, 1]",$$ - $$$,Vegetarian FriendlyVegan Options
1082,Mighty O Donuts,https://www.tripadvisor.com/Restaurant_Review-g60878-d10112170-Reviews-Mighty_O_Donuts-Seattle_Washington.html,4,32,"1400 12th Ave, Seattle, WA 98122-3906",#44 of 88 Bakeries in Seattle,"[12, 6, 5, 1, 1]",$,BakeriesAmericanCafe
1083,Vino on the Landing,https://www.tripadvisor.com/Restaurant_Review-g58704-d4312165-Reviews-Vino_on_the_Landing-Renton_Washington.html,4,41,"800 N 10th Pl Ste E, Renton, WA 98057-5592",#37 of 199 Restaurants in Renton,"[10, 20, 8, 1, 1]",$$ - $$$,ItalianWine Bar
1084,Sushi Samurai The,https://www.tripadvisor.com/Restaurant_Review-g60878-d5084190-Reviews-Sushi_Samurai_The-Seattle_Washington.html,4.5,18,"1817 Queen Anne Ave N, Seattle, WA 98109-2876","#675 of 2,182 Restaurants in Seattle","[12, 3, 1, 1, 0]",$$ - $$$,JapaneseSushiAsian
1085,Wakefield Bar,https://www.tripadvisor.com/Restaurant_Review-g60878-d7987440-Reviews-Wakefield_Bar-Seattle_Washington.html,4.5,20,"2318 2nd Ave, Seattle, WA 98121-1710","#676 of 2,182 Restaurants in Seattle","[13, 6, 0, 1, 0]",$$ - $$$,BarPub
1086,Djan's Modern Thai Restaurant,https://www.tripadvisor.com/Restaurant_Review-g60878-d445286-Reviews-Djan_s_Modern_Thai_Restaurant-Seattle_Washington.html,4,26,"264 NE 45th St, Seattle, WA 98105-6148","#677 of 2,182 Restaurants in Seattle","[11, 11, 3, 0, 1]",$$ - $$$,AsianThaiVegetarian Friendly
1087,Ludi's Restaurant,https://www.tripadvisor.com/Restaurant_Review-g60878-d26441995-Reviews-Ludi_s_Restaurant-Seattle_Washington.html,5,6,"120 Stewart street, Seattle, WA 98101","#678 of 2,182 Restaurants in Seattle","[6, 0, 0, 0, 0]",,American
1088,Monkey Bridge,https://www.tripadvisor.com/Restaurant_Review-g60878-d1024962-Reviews-Monkey_Bridge-Seattle_Washington.html,4.5,40,"1723 NW Market St, Seattle, WA 98107-5225","#679 of 2,182 Restaurants in Seattle","[21, 14, 2, 0, 3]",$$ - $$$,AsianVietnameseSoups
1089,Meesha 127,https://www.tripadvisor.com/Restaurant_Review-g60878-d23587752-Reviews-Meesha_127-Seattle_Washington.html,4.5,9,"127 N 36th St, Seattle, WA 98103-8633","#680 of 2,182 Restaurants in Seattle","[6, 2, 1, 0, 0]",,
1090,The Seattle Grind,https://www.tripadvisor.com/Restaurant_Review-g60878-d3865787-Reviews-The_Seattle_Grind-Seattle_Washington.html,4.5,21,"516 Harrison St, Seattle, WA 98109-4557",#55 of 225 Coffee & Tea in Seattle,"[8, 9, 1, 0, 0]",$,Quick BitesCafeVegetarian Friendly
1091,Varlamos Pizzeria,https://www.tripadvisor.com/Restaurant_Review-g60878-d432198-Reviews-Varlamos_Pizzeria-Seattle_Washington.html,4,41,"3617 NE 45th St, Seattle, WA 98105-5642","#681 of 2,182 Restaurants in Seattle","[16, 18, 3, 2, 2]",$$ - $$$,ItalianPizzaVegetarian Friendly
1092,Burien Press,https://www.tripadvisor.com/Restaurant_Review-g58375-d9783303-Reviews-Burien_Press-Burien_Washington.html,4.5,18,"423 SW 152nd St, Burien, WA 98166-2208",#1 of 3 Coffee & Tea in Burien,"[13, 3, 2, 0, 0]",$,Quick BitesCafe
1093,Maripili At Café Frieda,https://www.tripadvisor.com/Restaurant_Review-g60878-d4255411-Reviews-Maripili_At_Cafe_Frieda-Seattle_Washington.html,4.5,19,"704 Terry Avenue, Seattle, WA 98104-2019","#682 of 2,182 Restaurants in Seattle","[12, 6, 1, 0, 0]",$$ - $$$,CafeVegetarian FriendlyVegan Options
1094,Subway,https://www.tripadvisor.com/Restaurant_Review-g60878-d4583165-Reviews-Subway-Seattle_Washington.html,4,24,"18613 International Blvd., Seattle, WA 98188","#683 of 2,182 Restaurants in Seattle","[8, 8, 4, 0, 0]",$,Fast Food
1095,The Guest House Restaurant,https://www.tripadvisor.com/Restaurant_Review-g58535-d13475775-Reviews-The_Guest_House_Restaurant-Kenmore_Washington.html,4,31,"6810 NE 153rd Pl, Kenmore, WA 98028-4904",#6 of 19 Restaurants in Kenmore,"[13, 8, 6, 3, 1]",$$ - $$$,AmericanVegetarian Friendly
1096,Pizzuto's,https://www.tripadvisor.com/Restaurant_Review-g60878-d432294-Reviews-Pizzuto_s-Seattle_Washington.html,4.5,30,"5032 Wilson Ave S, Seattle, WA 98118-2085","#684 of 2,182 Restaurants in Seattle","[14, 12, 4, 0, 0]",$$ - $$$,ItalianPizzaVegetarian Friendly
1097,Marco Polo Bar & Grill,https://www.tripadvisor.com/Restaurant_Review-g60878-d4638482-Reviews-Marco_Polo_Bar_Grill-Seattle_Washington.html,4,27,"5613 4th Ave S, Seattle, WA 98108-2422","#685 of 2,182 Restaurants in Seattle","[10, 14, 0, 1, 1]",$,AmericanBarPub
1098,Chiso,https://www.tripadvisor.com/Restaurant_Review-g60878-d432132-Reviews-Chiso-Seattle_Washington.html,4,62,"3520 Fremont Ave N, Seattle, WA 98103-8814","#686 of 2,182 Restaurants in Seattle","[26, 22, 8, 3, 2]",$$ - $$$,JapaneseSushiAsian
1099,Starbucks,https://www.tripadvisor.com/Restaurant_Review-g60878-d4237065-Reviews-Starbucks-Seattle_Washington.html,4.5,29,"2200 Westlake Ave 2200 Westlake Avenue, Seattle, WA 98121-2713",#56 of 225 Coffee & Tea in Seattle,"[16, 5, 2, 0, 1]",$$ - $$$,Quick BitesAmericanCafe
1100,New Star Seafood Restaurant,https://www.tripadvisor.com/Restaurant_Review-g60878-d950464-Reviews-New_Star_Seafood_Restaurant-Seattle_Washington.html,4,33,"516 S Jackson St, Seattle, WA 98104-2829","#687 of 2,182 Restaurants in Seattle","[15, 14, 1, 1, 2]",$$ - $$$,ChineseSeafoodAsian
1101,Chelan Cafe,https://www.tripadvisor.com/Restaurant_Review-g60878-d445315-Reviews-Chelan_Cafe-Seattle_Washington.html,4,36,"3527 Chelan Ave SW, Seattle, WA 98106-1025","#688 of 2,182 Restaurants in Seattle","[13, 16, 5, 0, 1]",$,AmericanCafeDiner
1102,Luke's Lobster Pike Street,https://www.tripadvisor.com/Restaurant_Review-g60878-d25106048-Reviews-Luke_s_Lobster_Pike_Street-Seattle_Washington.html,4.5,7,"110 Pike Street, Seattle, WA 98101-2010","#689 of 2,182 Restaurants in Seattle","[4, 0, 0, 0, 0]",$$ - $$$,SeafoodSoups
1103,Cafe Soleil,https://www.tripadvisor.com/Restaurant_Review-g60878-d433380-Reviews-Cafe_Soleil-Seattle_Washington.html,4.5,17,"1400 34th Ave, Seattle, WA 98122-3334","#690 of 2,182 Restaurants in Seattle","[14, 1, 2, 0, 0]",$$ - $$$,AfricanEthiopianVegetarian Friendly
